Ahal_ID,mRNA,H3K4me1,H3K4me2,H3K4me3,H4ac,H3K36me3,H3K27me3,H2AZ,H3K9me2,H3
g00297,,,,,,,,,,
g00298,,,,,,,,,,
g00299,,,,,,5,,,,
g00300,,,5,,,,,,,
g00301,,,,,,,,,,
g00302,,,,,,,21,,,
g00303,,,,,,,,,,
g00304,,,,,,,,,,9
g00305,9,,,,,,,9,,
g00306,,,,,,,,5,,
g00307,,,,,,,,,,
g00308,,,,,,,,,,
g00309,,,,,,,,,,
g00310,,,,,21,,,,,
g00311,,,,,,,,,,
g00312,,,,,,,,,,
g00313,,,,,,144,,,,
g00314,,,,,,,,,,
g00315,,,,,,,,,,
g00316,,,,,,,,,,
g00317,,,,,,,,,,
g00318,,,,,,101,,,,
g00319,,,,,,,,,,
g00320,,,,,,,,,,
g00321,,,,,,,,,,
g00322,,,,,,,,,,
g00323,,,,,,,,,,
g00324,,,4,,,,,,,
g00325,,,,,,4,,,,
g00326,,,,,,,,,,8
g00327,,,,,,,,,,
g00328,,,,,,,,,,
g00329,,,,,,,,,,
g00330,,,,,,,,,,8
g00331,,,,,,,,,,
g00332,,,,,,,,,,
g00333,,,,,,,,9,,5
g00334,,,,,,,,,,
g00335,,,,,,,,5,,4
g00336,,,,,,,,5,,10
g00337,,,,,,,,,,
g00338,,,,,,,68,,,
g00339,,,,,,,,,,
g00340,,,,,,,,,,
g00341,,,,,,,,,,
g00342,,,,,,,,,,4
g00343,,,,,,,,,,
g00344,,,,,,,,,,4
g00345,,,,,,,,,,
g00346,,,,,,,,,,
g00347,,,,,,,,,,
g00348,9,,,,4,,,,,
g00349,,,,,,,,,,
g00350,,,,,,,,,,
g00351,,,,,,,,,,
g00352,,,,,,,,,,
g00353,,,,,,,,,,
g00354,,,,20,,9,,,,
g00355,,,,,,,,,,
g00356,,,,,,,,,,
g00357,,,,,,,,,,
g00358,,,,,,,,,,
g00359,,,,,,,,,,
g00360,,,,,,,,,,
g00361,,,,,,,,,,4
g00362,,,,,,,,,,
g00363,,,,,,4,,,,
g00364,,,,,,,,,,
g00365,,,,,,,,,,
g00366,,,,,,,,,,
g00367,,,4,,,,,,,
g00368,,,,,,9,,,,
g00369,,,,,,,,,,
g00370,,,,,,,,,,
g00371,,,,,,,,4,,
g00372,,,,,,,,,,
g00373,,,,,,,,,,
g00374,,,,,,,,,,
g00375,,,,,,,,,,44
g00376,,,,,,,,,,
g00377,,,,,,,,,,
g00378,,,,,,,,,,
g00379,,,,,,,,,,
g00380,,,,,,,,,,
g00381,,,,,,,,,,
g00382,,,,,,,,,,
g00383,,,,,,,,,,
g00384,,,,,,,,,,
g00385,,,,,,,,,,
g00386,,,,,,,,4,,
g00387,,,,,,,,,,
g00388,,,,,,,,,,
g00389,,,4,,,,,,,
g00390,,,,,,,,9,,
g00391,,,,,,,,,,
g00392,,,,,,,,,,
g00393,,,,,,,,,,
g00394,,,,,,,9,,,
g00395,,,,,,,,,,4
g00396,,,,,,,,,,
g00397,,,,,,,,,,
g00398,,,,,,,,,,
g00399,,,,,,,,8,,
g00400,,,,,,,,5,,
g00401,4,,,,,,,,,
g00402,,,,,,,,5,,
g00403,,,,,,,,,,
g00404,,,,,,,,,,
g00405,,,,,,,,,,
g00406,,,,,,,,,,
g00407,,,,,,,,,,
g00408,,,,,,,,,,
g00409,,,,,21,,,,,
g00410,,,,,,,,,,
g00411,,,,,5,,,,,
g00412,,,,,,,,,,
g00413,,,,,,,,,,
g00414,,,,,,,,,,
g00415,,,,,,,,,,
g00416,,,,,,,,,,
g00417,,,,,,,,,,
g00418,,,,,,,,,,
g00419,,,,,,8,,4,,8
g00420,,,,,,,,,,
g00421,,,,,,,,,,
g00422,,,,,,,,,,
g00423,,,,,,5,,,,
g00424,,,,,,,,,,
g00425,,,,,,,,,,
g00426,,,,,,,,,,
g00427,,,60,,,,,,,
g00428,,,,,,,,,,5
g00429,,,,,,,,,,
g00430,,,,,,22,,,,
g00431,,,,,23,,63,,,8
g00432,,,,,,,,5,,4
g00433,,,,,,,,,,
g00434,,,,,,,,,,
g00435,,,,,,,,,,
g00436,,,,,,,,,,
g00437,,,,,122,,,57,,
g00438,,,,,,,,,,
g00439,,,,,,,,,,
g00440,,,,,,,,,,
g00441,,,,,,,,,,
g00442,,,,,,,,,,
g00443,,,,,,,,,,
g00444,,,,,,,,,,5
g00445,,,9,,,,5,,,
g00446,,,,,,,,,,
g00447,,,86,,,,21,,,
g00448,,,,,,,,,,
g00449,,,,,,,,,,
g00450,,,,,,,,,,
g00451,,,,,,,74,,,
g00452,,,,,,,,,,
g00453,4,,70,,,,,10,,
g00454,,,,,,,,8,,
g00455,5,,,,,,,5,5,
g00456,,,,,,,,,,4
g00457,,,,,,,,,,
g00458,,,,,,,,,,
g00459,,,,,,,,5,,5
g00460,,,,,,,,,,
g00461,,,,,,,,,,
g00462,,,,,,4,,,,
g00463,,,,,,,,,,
g00464,,,,,,,,,,
g00465,,,,,,,,7,,
g00466,,,,,,,,5,,
g00467,5,,,,,,,5,,
g00468,,,,,22,,,,,
g00469,,,,,,,43,,,
g00470,,,,,4,,,,,
g00471,,,,,,,,,,
g00472,,,,,,,,,,
g00473,,4,,,,,,,,
g00474,,,,,,,,,,
g00475,,,,,,35,,,,
g00476,,,,,,,,,,
g00477,,,,,,,,,,9
g00478,,,,,,,35,,,
g00479,,,,,,87,,35,,
g00480,,,,,,,,,,
g00481,,,,,,9,,,,
g00482,,,,,,,,,,
g00483,,,,,,,,,,
g00484,,,,,,,,,,
g00485,,,,,,,,,,
g00486,,,,,,,,,,
g00487,,,,9,,,,,,
g00488,,,,,,,,,,
g00489,,,,,,,20,,,
g00490,,,,,,,,,,
g00491,,,,,9,,,,,
g00492,,,,,9,,,,,
g00493,,,,,,,,,,
g00494,4,,,,,,,,,
g00495,,4,,,,,,4,,
g00496,,,,,,,,,,
g00497,,,,,,,,,,
g00498,,,,,,,,9,,
g00499,,,,,,,,,,
g00500,,,5,,,,,,,
g00501,,,23,,,,,,,
g00502,,,,,,,,,,
g00503,,,,,,,,,,
g00504,,,,,,,,,,
g00505,,,,,,,,,,
g00506,,,,,,,,4,,9
g00507,,,,,,,,,,4
g00508,,,,,,,,,,
g00509,,,4,4,,,35,,,
g00510,,,,,,,,,,
g00511,,4,,,,,,,,
g00512,,,,,,,,,,
g00513,,,,,,35,,4,,
g00514,,,,,,,,,,
g00515,,,,,4,,,,,
g00516,,,,,,,,4,,
g00517,,,,,,,,,,
g00518,,,,,,,,,,5
g00519,,,,,,,21,,,
g00520,,,,,,,,9,,
g00521,,,,,,,,,,5
g00522,,,,,,,,,,
g00523,,,,,,,,,,
g00524,,,,,,,,,,4
g00525,,,105,,,35,,,,
g00526,,,,,,,,,,
g00527,,,,,,,,,,
g00528,,,,,,,,,,
g00529,,,,,,,,,,
g00530,,,,,,,,,,
g00531,,,,,,,,,,
g00532,,,4,,,,,,,
g00533,,,,,,,,,,
g00534,,,,,,,,,,
g00535,,,,,,,,,,4
g00536,,,,,,,,,,
g00537,,,,,,9,,,,
g00538,,,,,,,,4,,
g00539,,,,,,,,,,
g00540,,,,,,,,5,,
g00541,,,,,,,,5,,
g00542,,,,,,,,,,5
g00543,,,,,,,,,,
g00544,,,139,,34,,,,,
g00545,,,,,,,,,,
g00546,,,,,,9,,,,
g00547,,,,,,,,5,,
g00548,,,,,,,,4,,
g00549,,,,,,,,,,
g00550,,,,,,,,,,
g00551,,,,,85,,,,,
g00552,,,,,,,,,,
g00553,,,,,,,,,,
g00554,,,,,,,,,,
g00555,,,,,,,35,,,
g00556,,,,,,,,,,
g00557,,,,,,,,,,
g00558,,,,,,,,,,8
g00559,,,,,,,,,,
g00560,,,,,,,,,,
g00561,,,,,,,,,,4
g00562,,,,,,,,,,
g00563,,,,,,,,,,
g00564,,,,,,,,,,
g00565,,,,,,,,,,
g00566,,,,,,,,4,,
g00567,,,5,,,,,,,
g00568,,,,,,,,,,
g00569,,,,,,,,,,
g00570,,,,,,,,,,
g00571,,,,,,,,,,
g00572,,,,,,,,,,
g00573,,,,,,,,,,
g00574,,,,,,,,,,
g00575,,,,,,,,,,
g00576,,,,,,,,,,4
g00577,,,,,,,,,,
g00578,,,,,,,,,,
g00579,,,,,,9,,,,
g00580,,,,,,,,,,
g00581,,,,,,,,,,9
g00582,,,,,,,,,,4
g00583,,,,,,,,,,4
g00584,,,,,,,,,,
g00585,,,,,,,,,,5
g00586,,,,,,,,,,
g00587,,,,,,,,,,4
g00588,,,,,,,,,,
g00589,,,5,,,,,,,
g00590,,,138,,,,,,,
g00591,,,,,,,130,,,
g00592,,,,,,,,,,
g00593,,,,,,,,5,,
g00594,,,,,,,,,,
g00595,,,,,,,,,,
g00596,,,,,,,,,,9
g00597,,,,,,,,5,,
g00598,,,,,,,,,,
g00599,,,,,,,,,,
g00600,,,,,,,,,,
g00601,,,,,,,,,,
g00602,,,,,,,,,,
g00603,,,,,,,,,,4
g00604,,,5,,,,20,,,
g00605,,,,,,,,,,
g00606,,,,,,,,,,
g00607,,,,,,,,,,
g00608,,,,,,,,,,
g00609,,,,,,,,,,
g00610,,,,,,,,,,
g00611,,,,,,,,,,
g00612,,,,,,,,,,
g00613,,,,,,,,,,
g00614,,,,,4,,,,,
g00615,,,,,,,,5,,5
g00616,,5,,,,,,,,
g00617,,,,,,,,,,4
g00618,,,,,,,,,,
g00619,,,,,,,,,,
g00620,,,,,,,,,,
g00621,,,,,,,,,,
g00622,,,,,,,,,,
g00623,,,,,,,,,,
g00624,,,,,,,,,,
g00625,,,,,,,,,,
g00626,,,,,,,,4,,
g00627,,,,,,,,,,
g00628,,,,,,,,,,
g00629,,,,,,,,,,8
g00630,,,,,,,,,,
g00631,,,,,,,,,,
g00632,,,,,5,,,,,
g00633,,,,,,,,,,
g00634,,,,,,,,,,
g00635,,,,,,9,,5,,
g00636,,,,,,,,,,
g00637,,,,,,111,,,,
g00638,,,,,,,,4,,
g00639,,,,,,,,,,
g00640,,,,,,,,,,
g00641,,,,,,,,,,
g00642,,,,,,,,,,
g00643,,,,,,,,,,
g00644,,,,,,,,,,
g00645,,,,,,,,,,
g00646,,,,,,,,,,4
g00647,,,,,,,,,,4
g00648,,,,4,,,35,,,
g00649,,,,,,,,,,
g00650,,,,,,35,,,,
g00651,,,,,,,35,,,
g00652,,,,,,,,,,5
g00653,,,71,,,,122,,,4
g00654,,,,,,,,,,
g00655,,,,,,,,,,4
g00656,,,4,,,,34,,,
g00657,,,,,,,,5,,
g00658,,,,,,,,,,
g00659,,,,,,,,,,
g00660,4,,,,,,,4,,
g00661,,,,,,,,,,4
g00662,103,,,,,,86,,,
g00663,,,,,,,,,,
g00664,,23,150,,,,,,,
g00665,,,,,,,,,,
g00666,,,,,,,,,,
g00667,,,,,,,,,,
g00668,,,,,,,,,,
g00669,,,,,,,,,,4
g00670,,,,,,,,5,,
g00671,,,,,,,,,,
g00672,,,,,,,,,,
g00673,,,,,,,,,,
g00674,,,,,,,,,,
g00675,,,,,,,,,,
g00676,,,,,,,,5,,
g00677,,,,,,,,,,
g00678,,,,,,,,4,,
g00679,,,,,,,,,,
g00680,,,,,,,,,,
g00681,,,,,,,,,,
g00682,,,,,,,,,,
g00683,,,,,,,34,,,
g00684,,,,,,,,,,
g00685,,,,,,,,,,
g00686,,,,,,,,,,
g00687,,,,,,,,,,
g00688,,,,,,,,,,
g00689,,,,,,,,,,
g00690,4,,,,,,,,,
g00691,,,,,,,,,,4
g00692,,,,,,,,,,
g00693,,,,,,,,,,
g00694,,,,,,,,,,
g00695,,,,,,,,,,
g00696,,,,,,,,,,
g00697,,,,,,,,20,,
g00698,,,,,,,,,,9
g00699,,,,,,,,,,
g00700,,,,,,,,,,
g00701,,,,,,,,,,4
g00702,,,,,,,,,,
g00703,,,,,,,,,,
g00704,,,,,,,,5,,
g00705,,,,,,,,,,
g00706,,,,,,,,,,4
g00707,5,,,,,,,,,
g00708,,,,,4,,,5,,
g00709,,,,,,,,,,
g00710,,,,,,,,,,
g00711,,,,,,,,,,
g00712,,,,,,,,,,
g00713,,,,,,,,,,
g00714,,,,,,,,,,
g00715,,,,,,,,,,
g00716,,,,,,,,,,
g00717,,,,,,,,,,5
g00718,,,,,,,,,,
g00719,,,,,,,,,,9
g00720,,4,,,5,,,4,,
g00721,,,,,5,,,4,,
g00722,,,,,,,,,,
g00723,,,,,,,,,,
g00724,,,,,,,,,,
g00725,,,,,,,,,,
g00726,,,,,,,,4,,
g00727,,,,,,,,,,
g00728,,,,,,,,,,
g00729,,,,,,,,,,
g00730,,,4,,,,,,,5
g00731,,,4,,,,,,,
g00732,,,,,,,,,,
g00733,,,,,,,,,,4
g00734,,,,,,,,4,,4
g00735,,,,,,,,,,
g00736,35,,129,,,,,,,
g00737,,,,,,,,,,
g00738,,,,,,,,,,
g00739,,,,,,,,,,
g00740,,,,,,,,,,
g00741,,,,,,,,,,
g00742,4,,,,,5,,,,
g00743,5,,,,,,,,,
g00744,,,,,,,,,,
g00745,,,,,,,,,,
g00746,,,,,,,,,,4
g00747,,,,,,,,,,
g00748,,,,,,,,5,,
g00749,,,,,,,,,,
g00750,,,,,,,,,,
g00751,,,,,,,,,,
g00752,,,,,,,,,,
g00753,,,,,,,,,,9
g00754,,,,,,,,,,
g00755,,,,,,,,,,
g00756,,,,,,,,,,
g00757,,,,,,,,,,
g00758,,,,,,,,,,
g00759,,,,,,,,,,
g00760,,,,,,,,,,5
g00761,,,,,,,,,,
g00762,,,4,,4,,,,,
g00763,,,,,,,,,,
g00764,,,,,,,,,,
g00765,,,,,,,,,,
g00766,,,,,,,,,,
g00767,,,,,,,,,,
g00768,,,,,,,,,,
g00769,,,,,,,,,,9
g00770,,,,,,,,,,
g00771,,,,,,9,,,,
g00772,,,,,,23,,,,
g00773,,,,,,,,,,
g00774,,,,,,,,,,
g00775,,,,,,,,5,,
g00776,,,,,,,,,,
g00777,,,,,,5,,,,
g00778,,,,,,,,,,
g00779,,,,,,,,,,
g00780,,,,,,,,,,
g00781,,4,,,,,,,,
g00782,,,,,137,,,,,
g00783,,,,,,,,,,
g00784,,,,,,,,5,,5
g00785,,,,,,,,,,
g00786,,,,,,,,,,
g00787,,,,,,,,,,
g00788,,,,,,,,,,
g00789,,,,,,,,,,
g00790,,,,,,,,,,
g00791,,,,,,,,,,
g00792,,,,,,,35,,,
g00793,,,,,,87,,,,
g00794,,,,,,,,,,
g00795,,,,,,,,,,
g00796,,,,,,,,,,
g00797,,,,,,,,,,
g00798,,,,,,,,,,
g00799,,,,,,,,,,
g00800,,,,,,,,,,
g00801,,,,,,,,,,
g00802,,,,,,,,4,,
g00803,,,,,,,,,,
g00804,,,,,,,,,,
g00805,,,,,,,,,,
g00806,,,,,,,,5,,
g00807,,,,,,,,,,4
g00808,,,,,,,99,,,
g00809,,,,,,,,,,4
g00810,,,,,,,,,,
g00811,,,,,,,,,,
g00812,,,,,,,,,,
g00813,,,,,,,,,,
g00814,,8,,,,,,,,
g00815,,,,,,,,,,
g00816,,,,,,,,,,
g00817,,,,,,,,,,
g00818,,,,,,,,5,,
g00819,,,,35,,,,,,
g00820,,,,,4,,,,,
g00821,,,,,,,,,,
g00822,,,,,,,,,,
g00823,,,,,,,,,,
g00824,,,,,,,,,,
g00825,,8,,,,,,,,
g00826,,,,,,,,,,
g00827,,,,,,,,,,5
g00828,,,,,4,146,,,,
g00829,,,,,,,,,,
g00830,,,,,,,,,,
g00831,,,,,,,,,,
g00832,,,23,,,,,,,
g00833,,,,,,,,,,4
g00834,,,,,,,,,,
g00835,,,,,,,,,,
g00836,,,,,,,,,,
g00837,,,,,,,,,,4
g00838,,,,,,,,,,4
g00839,,,,,,,,,,
g00840,,,,,,,,,,
g00841,,,,,,,,,,
g00842,,,,,,,,,,
g00843,,,,,,,,,,
g00844,,,,,,,,,,
g00845,,,,,,,,,,
g00846,,,,,,,,,,
g00847,,,,,,,,,,9
g00848,,,4,,,34,,5,,
g00849,,,,,,,,,,
g00850,,,,,,,,,,
g00851,,,,,,,,,,
g00852,,,,,,,,,,
g00853,,,,,,,,,,9
g00854,,,,,,,,,,
g00855,,,,,,,,,,4
g00856,,,,,,,,10,,
g00857,,,,,,,,,,
g00858,,,,,,,,,,
g00859,4,,,,,,,5,,
g00860,,,,,,,,,,
g00861,,,,,,,,11,,
g00862,,,,,,,,5,,
g00863,,,,,,,,,,
g00864,,,,,,35,,,,
g00865,,,,,,,,,,
g00866,,,,,,,,5,,
g00867,,,,,,,,,,
g00868,,,,,,,,,,
g00869,,,,,,35,,,,
g00870,,,,,,,,,,
g00871,,,,,,,,,,
g00872,,,,,87,,,,,
g00873,,,,,,,,,,
g00874,,,,,,,,,,4
g00875,34,,,,,,,,,9
g00876,,,,,,,,,,
g00877,,,,,,,,,,
g00878,,,,,,,,5,,
g00879,,,,,,,,,,
g00880,,,,,,,,,,
g00881,,,,,,,,,,
g00882,,,,,,,,,,
g00883,,,,,,,,,,
g00884,,,,,,5,,,,
g00885,,,,,,,,,,
g00886,,,,,,,,,,
g00887,,,,,,,,,,
g00888,,,103,,,,,,,
g00889,,,,,,,,,,
g00890,,,,,9,,,,,
g00891,,,,,,,,,,
g00892,,,,,,,,,,
g00893,,,,,,,,,,4
g00894,,,9,,,,,,,5
g00895,,,,,,,,,,
g00896,,,,,,,,,,
g00897,,,,,,,,,,
g00898,,,,,,21,,,,
g00899,,,,,,,,,,
g00900,,,,,,,,,,
g00901,,,,,,,,,,
g00902,,,,,,,,,,4
g00903,,,,,,,,,,
g00904,,,,,,,,,,
g00905,,,,,,,,,,5
g00906,,,,,,,,,,
g00907,,,,,,,,,,
g00908,,,,,,,,,,
g00909,,,,,,,,,,
g00910,,,,,,,,,,
g00911,,,,,,,,,,
g00912,,,,,,,,,,
g00913,,,,,,,,,,
g00914,,,,,,,,,,
g00915,,,,,,,,,,
g00916,9,,4,9,,9,,10,,
g00917,,,,,,,,,,8
g00918,,,,,,,,,,
g00919,,,,,,,,,,
